"Occupation Code","Occupational Title","subtot","Occupation Group","2018 Employment","2028 Employment","Numeric Change","Percent Change","Labor Force Exits","Occupational Transfers","Total Separations","Percent Labor Force Exits","Percent Occupational Transfers","Occupational Openings","10th Percentile","25th Percentile","Median","75th Percentile","90th Percentile","Education","Work Experience"
"232090","Miscellaneous Legal Support Workers","3","Legal","126.500000","128.200000","1.800000","1.4000","4.200000","7.000000","11.200000","37.500000000000000000","62.500000000000000000","11.500000","30180","39340","52430","71320","110640","N/A","N/A"
"232091","Court Reporters","5","Legal","15.700000","16.800000","1.100000","7.0000",".500000",".900000","1.400000","35.700000000000000000","64.300000000000000000","1.600000","","","","","","Postsecondary nondegree award","None"
"232093","Title Examiners, Abstractors, and Searchers","5","Legal","62.600000","62.500000","-.100000","-.1000","2.100000","3.500000","5.600000","37.500000000000000000","62.500000000000000000","5.500000","29060","36700","48180","62090","79920","High school diploma or equivalent","None"
"232099","Legal Support Workers, All Other","5","Legal","48.100000","48.900000",".800000","1.6000","1.600000","2.700000","4.300000","37.200000000000000000","62.800000000000000000","4.400000","32070","43950","58400","93050","134710","Associate's degree","None"
"250000","Education, Training, and Library Occupations","2","Education/Library","9647.400000","10160.300000","512.900000","5.3000","405.400000","480.400000","885.800000","45.800000000000000000","54.200000000000000000","937.000000","23570","33010","50790","72370","99270","N/A","N/A"
"251000","Postsecondary Teachers","3","Education/Library","1888.800000","2059.100000","170.400000","9.0000","72.600000","90.600000","163.200000","44.500000000000000000","55.500000000000000000","180.200000","37750","53340","75440","112140","163480","N/A","N/A"
"251011","Business Teachers, Postsecondary","5","Education/Library","108.000000","123.900000","15.900000","14.7000","4.300000","5.300000","9.600000","44.800000000000000000","55.200000000000000000","11.200000","39470","57680","87200","133160","196980","Doctoral or professional degree","None"
"251020","Math and Computer Teachers, Postsecondary","3","Education/Library","101.400000","104.800000","3.400000","3.4000","3.800000","4.700000","8.500000","44.700000000000000000","55.300000000000000000","8.900000","40320","55280","77710","114230","160670","N/A","N/A"
"251021","Computer Science Teachers, Postsecondary","5","Education/Library","40.200000","41.900000","1.700000","4.2000","1.500000","1.900000","3.400000","44.100000000000000000","55.900000000000000000","3.600000","42750","59550","85180","123720","169980","Doctoral or professional degree","None"
"251022","Mathematical Science Teachers, Postsecondary","5","Education/Library","61.100000","62.900000","1.700000","2.9000","2.300000","2.800000","5.100000","45.100000000000000000","54.900000000000000000","5.300000","38790","53170","73690","106460","154320","Doctoral or professional degree","None"
"251030","Engineering and Architecture Teachers, Postseconda","3","Education/Library","56.400000","62.400000","6.000000","10.7000","2.200000","2.700000","4.900000","44.900000000000000000","55.100000000000000000","5.500000","51150","72350","99300","134340","183900","N/A","N/A"
"251031","Architecture Teachers, Postsecondary","5","Education/Library","8.900000","9.600000",".700000","7.7000",".300000",".400000",".700000","42.900000000000000000","57.100000000000000000",".800000","43000","63450","87900","124060","175390","Doctoral or professional degree","None"
"251032","Engineering Teachers, Postsecondary","5","Education/Library","47.500000","52.800000","5.300000","11.2000","1.800000","2.300000","4.100000","43.900000000000000000","56.100000000000000000","4.700000","53030","74510","101010","136400","185720","Doctoral or professional degree","None"
"251040","Life Sciences Teachers, Postsecondary","3","Education/Library","80.400000","88.600000","8.200000","10.3000","3.100000","3.900000","7.000000","44.300000000000000000","55.700000000000000000","7.800000","44230","59590","83370","120600","168460","N/A","N/A"
"251041","Agricultural Sciences Teachers, Postsecondary","5","Education/Library","13.300000","13.900000",".600000","4.3000",".500000",".600000","1.100000","45.500000000000000000","54.500000000000000000","1.200000","40750","57770","83260","113790","149700","Doctoral or professional degree","None"
"251042","Biological Science Teachers, Postsecondary","5","Education/Library","64.500000","72.000000","7.600000","11.7000","2.500000","3.100000","5.600000","44.600000000000000000","55.400000000000000000","6.400000","44750","59710","83300","122410","173930","Doctoral or professional degree","None"
"251043","Forestry and Conservation Science Teachers, Postse","5","Education/Library","2.600000","2.700000",".100000","4.6000",".100000",".100000",".200000","50.000000000000000000","50.000000000000000000",".200000","49210","63810","85450","112470","138950","Doctoral or professional degree","None"
"251050","Physical Sciences Teachers, Postsecondary","3","Education/Library","64.900000","68.800000","3.900000","5.9000","2.500000","3.100000","5.600000","44.600000000000000000","55.400000000000000000","5.900000","46980","61620","84730","120170","164540","N/A","N/A"
"251051","Atmospheric, Earth, Marine, and Space Sciences Tea","5","Education/Library","13.400000","13.900000",".600000","4.3000",".500000",".600000","1.100000","45.500000000000000000","54.500000000000000000","1.200000","47660","65900","92040","127210","173140","Doctoral or professional degree","None"
"251052","Chemistry Teachers, Postsecondary","5","Education/Library","26.700000","28.400000","1.700000","6.3000","1.000000","1.300000","2.300000","43.500000000000000000","56.500000000000000000","2.400000","45940","59100","79550","112340","159160","Doctoral or professional degree","None"
"251053","Environmental Science Teachers, Postsecondary","5","Education/Library","7.600000","8.000000",".500000","6.0000",".300000",".400000",".700000","42.900000000000000000","57.100000000000000000",".700000","44760","59920","82430","115350","158030","Doctoral or professional degree","None"
"251054","Physics Teachers, Postsecondary","5","Education/Library","17.300000","18.400000","1.100000","6.5000",".700000",".800000","1.500000","46.700000000000000000","53.300000000000000000","1.600000","49690","64660","89590","124880","168900","Doctoral or professional degree","None"
"251060","Social Sciences Teachers, Postsecondary","3","Education/Library","147.200000","158.600000","11.400000","7.8000","5.600000","7.000000","12.600000","44.400000000000000000","55.600000000000000000","13.800000","40770","57240","80020","114250","163140","N/A","N/A"
"251061","Anthropology and Archeology Teachers, Postsecondar","5","Education/Library","7.300000","7.800000",".500000","6.7000",".300000",".300000",".600000","50.000000000000000000","50.000000000000000000",".700000","46700","63600","86220","117210","157840","Doctoral or professional degree","None"
"251062","Area, Ethnic, and Cultural Studies Teachers, Posts","5","Education/Library","12.600000","13.500000",".900000","7.0000",".500000",".600000","1.100000","45.500000000000000000","54.500000000000000000","1.200000","38610","54920","77070","105140","157030","Doctoral or professional degree","None"
"251063","Economics Teachers, Postsecondary","5","Education/Library","16.400000","17.700000","1.300000","7.9000",".600000",".800000","1.400000","42.900000000000000000","57.100000000000000000","1.500000","51090","73330","104370","146270","206150","Doctoral or professional degree","None"
"251064","Geography Teachers, Postsecondary","5","Education/Library","4.800000","5.100000",".200000","4.6000",".200000",".200000",".400000","50.000000000000000000","50.000000000000000000",".400000","43740","62170","80520","105300","137690","Doctoral or professional degree","None"
"251065","Political Science Teachers, Postsecondary","5","Education/Library","20.300000","21.800000","1.500000","7.6000",".800000","1.000000","1.800000","44.400000000000000000","55.600000000000000000","1.900000","44340","61590","85930","122800","184340","Doctoral or professional degree","None"
"251066","Psychology Teachers, Postsecondary","5","Education/Library","47.900000","53.500000","5.600000","11.7000","1.900000","2.300000","4.200000","45.200000000000000000","54.800000000000000000","4.800000","41010","56180","76620","105830","151030","Doctoral or professional degree","None"
"251067","Sociology Teachers, Postsecondary","5","Education/Library","17.400000","18.500000","1.100000","6.3000",".700000",".800000","1.500000","46.700000000000000000","53.300000000000000000","1.600000","39920","54980","75290","103300","147930","Doctoral or professional degree","None"
